datetime,open,high,low,close_price,volume,SMA_10,RSI_14,MACD,MACD_signal
2025-01-23 11:00:00,3.0927,3.106,3.0765,3.0886,7723342.0,3.1241499999999998,37.72005762554242,-0.0194553161969786,-0.011111404803817601
2025-01-23 12:00:00,3.0886,3.0944,3.0623,3.0852,7526389.0,3.11742,37.186031169296356,-0.02131519657873504,-0.01315216315880109
2025-01-23 13:00:00,3.0852,3.0856,3.05,3.0538,11573316.0,3.1080499999999995,32.59623610388603,-0.025034302899726413,-0.015528591106986156
2025-01-23 14:00:00,3.0539,3.1025,3.0374,3.0856,20845919.0,3.1014,40.59330784314744,-0.025126089300506305,-0.017448090745690186
2025-01-23 15:00:00,3.0855,3.1644,3.0773,3.1532,25067911.0,3.1053100000000002,53.28242469935619,-0.019519071930170995,-0.017862286982586347
2025-01-23 16:00:00,3.1533,3.1609,3.0898,3.1352,26440101.0,3.1048400000000003,50.20722891583915,-0.016339567472727357,-0.01755774308061455
2025-01-23 17:00:00,3.1351,3.1868,3.1191,3.1237,18635209.0,3.10495,48.289651609262776,-0.014579675747120824,-0.016962129613915806
2025-01-23 18:00:00,3.1236,3.1322,3.0923,3.1257,9865473.0,3.1045299999999996,48.656921539829334,-0.01287514888805985,-0.016144733468744617
2025-01-23 19:00:00,3.1258,3.1288,3.0922,3.0933,5605925.0,3.1037,43.29252884967081,-0.013977583412863925,-0.01571130345756848
2025-01-23 20:00:00,3.0933,3.0959,3.06,3.0801,10480513.0,3.10244,41.29502655047203,-0.015735016919044664,-0.015716046149863716
2025-01-23 21:00:00,3.0801,3.175,3.0725,3.0991,31702905.0,3.10349,45.21346071247124,-0.015416937564410649,-0.015656224432773102
2025-01-23 22:00:00,3.0991,3.1037,3.058,3.0787,10166418.0,3.10284,41.973954650683915,-0.016619388924006717,-0.015848857331019827
2025-01-23 23:00:00,3.0788,3.1287,3.0718,3.12,7651130.0,3.10946,49.813681839806236,-0.01407749880489817,-0.015494585625795497
2025-01-24 00:00:00,3.1201,3.1456,3.111,3.1194,9750729.0,3.1128400000000003,49.708607792979116,-0.011973425363375423,-0.014790353573311484
2025-01-24 01:00:00,3.1194,3.1225,3.077,3.0799,8942011.0,3.1055099999999998,43.241914559848695,-0.013339482634393995,-0.014500179385527986
2025-01-24 02:00:00,3.0799,3.1035,3.0673,3.0752,5795953.0,3.09951,42.53289045097204,-0.014632667303889235,-0.014526676969200236
